,,,,,,,,,Application Detail Report,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,Advisor :  Demo Advisor,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Belmont Farm, Belmont Farm, 1031 Wards Road, RD 1 , Christchurch",,,,,,,,,,,
,,,,,,,,,,,
"A, Pak Choi, 21.55 ha (01/01/14  To 28/02/15)",,,,,,,,,,,
,,,,,,,,,,,
Planned,No,Product,Reason / Analysis,,Area (ha),Plan Rate,Actual Rate,Total,Applied,,
,,,,,,,,,,,
,,,,,,,,,,,
"C, Pastures - Grass, 21.47 ha (01/01/14  To 28/02/15)",,,,,,,,,,,
,,,,,,,,,,,
Planned,No,Product,Reason / Analysis,,Area (ha),Plan Rate,Actual Rate,Total,Applied,,
,,,,,,,,,,,
,,,,,,,,,,,
,,17/10/14,15,DAP,"N: 36kg, P: 40.2kg, S: 2kg",21.47 ,200.0 kgs/ha,200.0 kgs/ha,"4,294.0 kg",,26/09/14
,,09/04/15,37,MURIATE OF POTASH,K: 30kg,21.47 ,60.0 kgs/ha,60.0 kgs/ha,"1,288.2 kg",,05/11/14
,,09/04/15,37,SUSTIAN,N: 46kg,21.47 ,100.0 kgs/ha,100.0 kgs/ha,"2,147.0 kg",,05/11/14
,,01/07/15,18,SUSTIAN AMMO 30N,"N: 27.9kg, S: 12.74kg",21.47 ,93.0 kgs/ha,93.0 kgs/ha,"1,996.7 kg",,01/07/15
