Name,Date,Area(ha),Product,Rate,N(kg/ha),P(kg/ha),K(kg/ha),S(kg/ha),Ca(kg/ha),Mg(kg/ha)
,Area weighted total,,,,151,6,-,44,-,-
18G,No data for period selected,,,,,,,,,
19,7/10/2019,8.6,AmSulph Granular,128,26,-,-,31,-,-
,4/11/2019,0,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,22/11/2019,8.8,Urea,28,13,-,-,-,-,-
,6/02/2020,5.1,Urea,30,14,-,-,-,-,-
,Area weighted total,,,,45,-,-,29,-,-
19G,No data for period selected,,,,,,,,,
1A,2/10/2019,3.7,Ammo 31,144,44,-,-,20,-,-
,27/10/2019,3.5,Urea,99,45,-,-,-,-,-
,26/11/2019,3.8,DAP,34,6,7,-,-,-,-
,10/02/2020,3.3,Urea,34,16,-,-,-,-,-
,27/03/2020,3.6,Urea,99,46,-,-,-,-,-
,17/08/2020,3.6,Ammo 31,122,37,-,-,17,-,-
,Area weighted total,,,,164,6,-,32,-,-
1G,22/11/2019,4.8,Urea,31,14,-,-,-,-,-
,9/12/2019,0.2,DAP,183,32,37,-,2,-,-
,10/12/2019,4.7,DAP,30,5,6,-,-,-,-
,8/01/2020,6.9,Urea,97,45,-,-,-,-,-
,9/01/2020,0.1,Urea,144,66,-,-,-,-,-
,28/01/2020,4.8,Urea,32,15,-,-,-,-,-
,5/03/2020,6.9,N - PROTECT,94,43,-,-,-,-,-
,9/04/2020,4.8,Urea,98,45,-,-,-,-,-
,12/04/2020,2.1,Magnesium Oxide,86,-,-,-,-,-,34
,23/06/2020,4.9,Urea,79,36,-,-,-,-,-
,Area weighted total,,,,161,5,-,-,-,10
2,11/10/2019,6.5,Urea,95,44,-,-,-,-,-
,4/11/2019,9.5,LIQUID NITROGEN (UREA) BULK,80 kg/ha,16,-,-,-,-,-
,5/11/2019,9.2,Urea,78,36,-,-,-,-,-
,26/11/2019,9.2,DAP,28,5,6,-,-,-,-
,31/12/2019,9.3,AG LIME,1684,-,-,-,-,606,-
,9/01/2020,3.7,Urea,142,65,-,-,-,-,-
,17/08/2020,4.3,Ammo 31,113,34,-,-,16,-,-
,Area weighted total,,,,125,5,-,7,589,-
20,28/09/2019,10.7,AG LIME,920,-,-,-,-,331,-
,1/10/2019,10.6,Dolomite,1191,-,-,-,-,274,131
,18/12/2019,10.6,DAP,29,5,6,-,-,-,-
,15/01/2020,11,Urea,31,14,-,-,-,-,-
,5/03/2020,11,N - PROTECT,88,40,-,-,-,-,-
,27/03/2020,11,Urea,88,41,-,-,-,-,-
,Area weighted total,,,,97,5,-,-,568,122
20G,No data for period selected,,,,,,,,,
21,16/10/2019,10.6,Urea,94,43,-,-,-,-,-
,15/01/2020,10.4,Urea,30,14,-,-,-,-,-
,5/03/2020,10.4,N - PROTECT,89,41,-,-,-,-,-
,27/03/2020,10.6,Urea,88,41,-,-,-,-,-
,Area weighted total,,,,133,-,-,-,-,-
21G,No data for period selected,,,,,,,,,
22,5/11/2019,9.8,Urea,80,37,-,-,-,-,-
,2/12/2019,9.4,DAP,24,4,5,-,-,-,-
,31/12/2019,9.9,Urea,87,40,-,-,-,-,-
,15/01/2020,3.8,Urea,29,13,-,-,-,-,-
,6/02/2020,9.8,Urea,31,14,-,-,-,-,-
,27/03/2020,9.9,Urea,94,43,-,-,-,-,-
,3/09/2020,10.1,Ammo 31,109,33,-,-,15,-,-
,Area weighted total,,,,171,4,-,15,-,-
22G,No data for period selected,,,,,,,,,
23,22/11/2019,9.7,Urea,30,14,-,-,-,-,-
